STATE_ABR,COUNTY_NAME,FIPS_STATE_AND_COUNTY,DMA_AREA,
TX,COLEMAN,48083,Abilene-Sweetwater TX,
TX,EASTLAND,48133,Abilene-Sweetwater TX,
TX,FISHER,48151,Abilene-Sweetwater TX,
TX,HASKELL,48207,Abilene-Sweetwater TX,
TX,MITCHELL,48335,Abilene-Sweetwater TX,
TX,RUNNELS,48399,Abilene-Sweetwater TX,
TX,SHACKELFORD,48417,Abilene-Sweetwater TX,
TX,STEPHENS,48429,Abilene-Sweetwater TX,
TX,STONEWALL,48433,Abilene-Sweetwater TX,
TX,BROWN,48049,Abilene-Sweetwater TX,
TX,CALLAHAN,48059,Abilene-Sweetwater TX,
TX,JONES,48253,Abilene-Sweetwater TX,
TX,NOLAN,48353,Abilene-Sweetwater TX,
TX,SCURRY,48415,Abilene-Sweetwater TX,
TX,TAYLOR,48441,Abilene-Sweetwater TX,
GA,IRWIN,13155,Albany GA,
GA,TURNER,13287,Albany GA,
GA,ATKINSON,13003,Albany GA,
GA,BERRIEN,13019,Albany GA,
GA,CALHOUN,13037,Albany GA,
GA,COOK,13075,Albany GA,
GA,MITCHELL,13205,Albany GA,
GA,CRISP,13081,Albany GA,
GA,BAKER,13007,Albany GA,
GA,BEN HILL,13017,Albany GA,
GA,COFFEE,13069,Albany GA,
GA,COLQUITT,13071,Albany GA,
GA,DOUGHERTY,13095,Albany GA,
GA,LEE,13177,Albany GA,
GA,TERRELL,13273,Albany GA,
GA,TIFT,13277,Albany GA,
GA,WORTH,13321,Albany GA,
NY,ALBANY,36001,Albany-Schenectady-Troy NY,
NY,RENSSELAER,36083,Albany-Schenectady-Troy NY,
NY,SARATOGA,36091,Albany-Schenectady-Troy NY,
NY,SCHENECTADY,36093,Albany-Schenectady-Troy NY,
NY,SCHOHARIE,36095,Albany-Schenectady-Troy NY,
NY,GREENE,36039,Albany-Schenectady-Troy NY,
NY,HAMILTON,36041,Albany-Schenectady-Troy NY,
MA,BERKSHIRE,25003,Albany-Schenectady-Troy NY,
NY,COLUMBIA,36021,Albany-Schenectady-Troy NY,
NY,FULTON,36035,Albany-Schenectady-Troy NY,
NY,MONTGOMERY,36057,Albany-Schenectady-Troy NY,
NY,WARREN,36113,Albany-Schenectady-Troy NY,
NY,WASHINGTON,36115,Albany-Schenectady-Troy NY,
VT,BENNINGTON,50003,Albany-Schenectady-Troy NY,
