DateStart,DateEnd,Interval Days,GeoName,Keyword1_my car * stolen+bus stolen+truck stolen+report * stolen car+find stolen car
2012-01-01,2018-12-31,2557,Atlanta GA,59
2012-01-01,2018-12-31,2557,Austin TX,60
2012-01-01,2018-12-31,2557,Baltimore MD,50
2012-01-01,2018-12-31,2557,"Billings, MT",16
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,31
2012-01-01,2018-12-31,2557,Charlotte NC,49
2012-01-01,2018-12-31,2557,Chicago IL,47
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,37
2012-01-01,2018-12-31,2557,Columbus OH,44
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,68
2012-01-01,2018-12-31,2557,Denver CO,55
2012-01-01,2018-12-31,2557,Detroit MI,55
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,74
2012-01-01,2018-12-31,2557,Houston TX,81
2012-01-01,2018-12-31,2557,Indianapolis IN,56
2012-01-01,2018-12-31,2557,Kansas City MO,69
2012-01-01,2018-12-31,2557,Las Vegas NV,88
2012-01-01,2018-12-31,2557,Los Angeles CA,75
2012-01-01,2018-12-31,2557,Louisville KY,62
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,55
2012-01-01,2018-12-31,2557,Milwaukee WI,49
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,42
2012-01-01,2018-12-31,2557,Nashville TN,50
2012-01-01,2018-12-31,2557,New York NY,38
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,42
2012-01-01,2018-12-31,2557,Oklahoma City OK,67
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,46
2012-01-01,2018-12-31,2557,Philadelphia PA,41
2012-01-01,2018-12-31,2557,Phoenix AZ,66
2012-01-01,2018-12-31,2557,Portland OR,48
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,36
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,100
2012-01-01,2018-12-31,2557,Salt Lake City UT,45
2012-01-01,2018-12-31,2557,San Antonio TX,80
2012-01-01,2018-12-31,2557,San Diego CA,73
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,65
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,75
2012-01-01,2018-12-31,2557,Springfield MO,72
2012-01-01,2018-12-31,2557,St. Louis MO,56
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,51
2012-01-01,2018-12-31,2557,Tulsa OK,80
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),38
