GeoName,Keyword1_I * raped+someone raped me+rape report police+my * raped me+being raped+been raped
Albuquerque-Santa Fe NM,72.84
Atlanta GA,76.89
Austin TX,56.56
Baltimore MD,69.29
Birmingham AL,82.07
Boston MA-Manchester NH,61.19
Buffalo NY,82.45
Charlotte NC,75.65
Chicago IL,67.95
Cincinnati OH,75.05
Cleveland-Akron (Canton) OH,76.45
Columbus OH,77.86
Dallas-Ft. Worth TX,74.64
Denver CO,61.65
Detroit MI,78.61
Fresno-Visalia CA,79.73
Grand Rapids-Kalamazoo-Battle Creek MI,79.33
Greensboro-High Point-Winston Salem NC,76.68
Greenville-Spartanburg SC-Asheville NC-Anderson SC,75.75
Harrisburg-Lancaster-Lebanon-York PA,77.56
Hartford & New Haven CT,63.07
Honolulu HI,53.32
Houston TX,69.85
Indianapolis IN,76.16
Jacksonville FL,77.07
Kansas City MO,75.59
Las Vegas NV,71.77
Little Rock-Pine Bluff AR,96.07
Los Angeles CA,66.29
Louisville KY,87.71
Memphis TN,83.63
Miami-Ft. Lauderdale FL,61.62
Milwaukee WI,60.29
Minneapolis-St. Paul MN,62.69
Mobile AL-Pensacola (Ft. Walton Beach) FL,76.48
Nashville TN,81.59
New Orleans LA,81.96
New York NY,65.01
Norfolk-Portsmouth-Newport News VA,84.89
Oklahoma City OK,77.42
Omaha NE,71.31
Orlando-Daytona Beach-Melbourne FL,71.55
Philadelphia PA,73.44
Phoenix AZ,66.29
Pittsburgh PA,76.32
Portland OR,56.5
Providence RI-New Bedford MA,71.82
Raleigh-Durham (Fayetteville) NC,69.62
Sacramento-Stockton-Modesto CA,70.74
Salt Lake City UT,61.21
San Antonio TX,83.81
San Diego CA,55.11
San Francisco-Oakland-San Jose CA,55.93
Seattle-Tacoma WA,63.28
Springfield MO,89.66
St. Louis MO,78.91
Tampa-St. Petersburg (Sarasota) FL,74.77
Tulsa OK,75.37
Washington DC (Hagerstown MD),66.32
West Palm Beach-Ft. Pierce FL,71.14
