GeoName,Keyword1_my car * stolen+bus stolen+truck stolen+report * stolen car+find stolen car
Atlanta GA,61.536842105263155
Austin TX,56.72631578947368
Baltimore MD,48.6
"Billings, MT",29.778947368421054
Boston MA-Manchester NH,30.45263157894737
Charlotte NC,48.694736842105264
Chicago IL,49.694736842105264
Cleveland-Akron (Canton) OH,39.31578947368421
Columbus OH,45.136842105263156
Dallas-Ft. Worth TX,69.4
Denver CO,57.915789473684214
Detroit MI,53.23157894736842
Fresno-Visalia CA,83.57894736842105
Houston TX,81.82105263157895
Indianapolis IN,52.06315789473684
Kansas City MO,71.62105263157895
Las Vegas NV,95.67368421052632
Los Angeles CA,77.43157894736842
Louisville KY,63.05263157894737
Miami-Ft. Lauderdale FL,55.66315789473684
Milwaukee WI,51.252631578947366
Minneapolis-St. Paul MN,42.06315789473684
Nashville TN,47.96842105263158
New York NY,38.90526315789474
Norfolk-Portsmouth-Newport News VA,45.68421052631579
Oklahoma City OK,67.29473684210527
Orlando-Daytona Beach-Melbourne FL,49.45263157894737
Philadelphia PA,42.578947368421055
Phoenix AZ,65.30526315789474
Pittsburgh PA,52.61052631578947
Portland OR,42.22105263157895
Raleigh-Durham (Fayetteville) NC,89.0421052631579
Sacramento-Stockton-Modesto CA,53.82105263157895
Salt Lake City UT,69.82105263157895
San Antonio TX,75.54736842105264
San Diego CA,73.62105263157895
San Francisco-Oakland-San Jose CA,76.78947368421052
Seattle-Tacoma WA,72.27368421052631
Springfield MO,55.8
St. Louis MO,52.96842105263158
Tampa-St. Petersburg (Sarasota) FL,77.4
Tulsa OK,44.32631578947368
Washington DC (Hagerstown MD),39.42857142857143
