CBSAcode,CBSAName,DMAName
12060,"Atlanta-Sandy Springs-Marietta, GA",Atlanta GA
12420,"Austin-Round Rock-San Marcos, TX",Austin TX
12580,"Baltimore-Towson, MD",Baltimore MD
13820,"Birmingham-Hoover, AL",Birmingham AL
14460,"Boston-Cambridge-Quincy, MA-NH",Boston MA-Manchester NH
15380,"Buffalo-Niagara Falls, NY",Buffalo NY
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",Charlotte NC
16980,"Chicago-Joliet-Naperville, IL-IN-WI",Chicago IL
17140,"Cincinnati-Middletown, OH-KY-IN",Cincinnati OH
17460,"Cleveland-Elyria-Mentor, OH",Cleveland-Akron (Canton) OH
18140,"Columbus, OH",Columbus OH
19100,"Dallas-Fort Worth-Arlington, TX",Dallas-Ft. Worth TX
19740,"Denver-Aurora-Broomfield, CO",Denver CO
19820,"Detroit-Warren-Livonia, MI",Detroit MI
25540,"Hartford-West Hartford-East Hartford, CT",Hartford & New Haven CT
26420,"Houston-Sugar Land-Baytown, TX",Houston TX
26900,"Indianapolis-Carmel, IN",Indianapolis IN
27260,"Jacksonville, FL",Jacksonville FL
28140,"Kansas City, MO-KS",Kansas City MO
29820,"Las Vegas-Paradise, NV",Las Vegas NV
31140,"Louisville/Jefferson County, KY-IN",Louisville KY
32820,"Memphis, TN-MS-AR",Memphis TN
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Ft. Lauderdale FL
33340,"Milwaukee-Waukesha-West Allis, WI",Milwaukee WI
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis-St. Paul MN
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville TN
35380,"New Orleans-Metairie-Kenner, LA",New Orleans LA
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York NY
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Norfolk-Portsmouth-Newport News VA
41860,"San Francisco-Oakland-Fremont, CA",San Francisco-Oakland-San Jose CA
41940,"San Jose-Sunnyvale-Santa Clara, CA",San Francisco-Oakland-San Jose CA
31100,"Los Angeles-Long Beach-Santa Ana, CA",Los Angeles CA
40140,"Riverside-San Bernardino-Ontario, CA",Los Angeles CA
36420,"Oklahoma City, OK",Oklahoma City OK
36740,"Orlando-Kissimmee-Sanford, FL",Orlando-Daytona Beach-Melbourne FL
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia PA
38060,"Phoenix-Mesa-Glendale, AZ",Phoenix AZ
38300,"Pittsburgh, PA",Pittsburgh PA
38900,"Portland-Vancouver-Hillsboro, OR-WA",Portland OR
39300,"Providence-New Bedford-Fall River, RI-MA",Providence RI-New Bedford MA
39580,"Raleigh-Cary, NC",Raleigh-Durham (Fayetteville) NC
40060,"Richmond, VA",Richmond-Petersburg VA
40380,"Rochester, NY",Rochester NY
40900,"Sacramento--Arden-Arcade--Roseville, CA",Sacramento-Stockton-Modesto CA
41620,"Salt Lake City, UT",Salt Lake City UT
41700,"San Antonio-New Braunfels, TX",San Antonio TX
41740,"San Diego-Carlsbad-San Marcos, CA",San Diego CA
42660,"Seattle-Tacoma-Bellevue, WA",Seattle-Tacoma WA
41180,"St. Louis, MO-IL",St. Louis MO
45300,"Tampa-St. Petersburg-Clearwater, FL",Tampa-St. Petersburg (Sarasota) FL
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington DC (Hagerstown MD)
