DateStart,DateEnd,Interval Days,GeoName,Keyword1_ my * stolen+burglary-car-turck-bus
2012-01-01,2018-12-31,2557,Albany-Schenectady-Troy NY,43
2012-01-01,2018-12-31,2557,Albuquerque-Santa Fe NM,68
2012-01-01,2018-12-31,2557,Atlanta GA,58
2012-01-01,2018-12-31,2557,Austin TX,55
2012-01-01,2018-12-31,2557,Bakersfield CA,100
2012-01-01,2018-12-31,2557,Baltimore MD,56
2012-01-01,2018-12-31,2557,Baton Rouge LA,54
2012-01-01,2018-12-31,2557,Birmingham AL,55
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,42
2012-01-01,2018-12-31,2557,Buffalo NY,49
2012-01-01,2018-12-31,2557,Champaign & Springfield-Decatur IL,45
2012-01-01,2018-12-31,2557,Charleston SC,51
2012-01-01,2018-12-31,2557,Charleston-Huntington WV,60
2012-01-01,2018-12-31,2557,Charlotte NC,50
2012-01-01,2018-12-31,2557,Chattanooga TN,66
2012-01-01,2018-12-31,2557,Chicago IL,53
2012-01-01,2018-12-31,2557,Cincinnati OH,50
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,48
2012-01-01,2018-12-31,2557,Colorado Springs-Pueblo CO,64
2012-01-01,2018-12-31,2557,Columbia SC,54
2012-01-01,2018-12-31,2557,Columbus OH,54
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,59
2012-01-01,2018-12-31,2557,Dayton OH,45
2012-01-01,2018-12-31,2557,Denver CO,56
2012-01-01,2018-12-31,2557,Des Moines-Ames IA,41
2012-01-01,2018-12-31,2557,Detroit MI,49
2012-01-01,2018-12-31,2557,El Paso TX,58
2012-01-01,2018-12-31,2557,Eugene OR,53
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,79
2012-01-01,2018-12-31,2557,Ft. Myers-Naples FL,43
2012-01-01,2018-12-31,2557,Grand Rapids-Kalamazoo-Battle Creek MI,46
2012-01-01,2018-12-31,2557,Greensboro-High Point-Winston Salem NC,47
2012-01-01,2018-12-31,2557,Greenville-Spartanburg SC-Asheville NC-Anderson SC,48
2012-01-01,2018-12-31,2557,Harlingen-Weslaco-Brownsville-McAllen TX,59
2012-01-01,2018-12-31,2557,Harrisburg-Lancaster-Lebanon-York PA,43
2012-01-01,2018-12-31,2557,Hartford & New Haven CT,44
2012-01-01,2018-12-31,2557,Honolulu HI,60
2012-01-01,2018-12-31,2557,Houston TX,67
2012-01-01,2018-12-31,2557,Huntsville-Decatur (Florence) AL,48
