DateStart,DateEnd,Interval Days,GeoName,Keyword1_my car * stolen+bus stolen+truck stolen+report * stolen car+find stolen car
2012-01-01,2018-12-31,2557,Albany-Schenectady-Troy NY,19
2012-01-01,2018-12-31,2557,Albuquerque-Santa Fe NM,62
2012-01-01,2018-12-31,2557,Atlanta GA,45
2012-01-01,2018-12-31,2557,Augusta GA,47
2012-01-01,2018-12-31,2557,Austin TX,45
2012-01-01,2018-12-31,2557,Bakersfield CA,100
2012-01-01,2018-12-31,2557,Baltimore MD,40
2012-01-01,2018-12-31,2557,"Billings, MT",30
2012-01-01,2018-12-31,2557,Birmingham AL,48
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,22
2012-01-01,2018-12-31,2557,Buffalo NY,33
2012-01-01,2018-12-31,2557,Charlotte NC,39
2012-01-01,2018-12-31,2557,Chicago IL,39
2012-01-01,2018-12-31,2557,Cincinnati OH,34
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,36
2012-01-01,2018-12-31,2557,Colorado Springs-Pueblo CO,49
2012-01-01,2018-12-31,2557,Columbia SC,34
2012-01-01,2018-12-31,2557,Columbus OH,37
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,51
2012-01-01,2018-12-31,2557,Denver CO,44
2012-01-01,2018-12-31,2557,Des Moines-Ames IA,23
2012-01-01,2018-12-31,2557,Detroit MI,42
2012-01-01,2018-12-31,2557,Flint-Saginaw-Bay City MI,30
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,61
2012-01-01,2018-12-31,2557,Ft. Myers-Naples FL,30
2012-01-01,2018-12-31,2557,Grand Rapids-Kalamazoo-Battle Creek MI,30
2012-01-01,2018-12-31,2557,Greensboro-High Point-Winston Salem NC,33
2012-01-01,2018-12-31,2557,Greenville-Spartanburg SC-Asheville NC-Anderson SC,40
2012-01-01,2018-12-31,2557,Harrisburg-Lancaster-Lebanon-York PA,24
2012-01-01,2018-12-31,2557,Hartford & New Haven CT,32
2012-01-01,2018-12-31,2557,Honolulu HI,37
2012-01-01,2018-12-31,2557,Houston TX,66
2012-01-01,2018-12-31,2557,Indianapolis IN,35
2012-01-01,2018-12-31,2557,Jacksonville FL,36
2012-01-01,2018-12-31,2557,Kansas City MO,51
2012-01-01,2018-12-31,2557,Knoxville TN,41
2012-01-01,2018-12-31,2557,Las Vegas NV,73
2012-01-01,2018-12-31,2557,Little Rock-Pine Bluff AR,45
2012-01-01,2018-12-31,2557,Los Angeles CA,58
2012-01-01,2018-12-31,2557,Louisville KY,49
2012-01-01,2018-12-31,2557,Madison WI,25
2012-01-01,2018-12-31,2557,Memphis TN,53
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,42
2012-01-01,2018-12-31,2557,Milwaukee WI,41
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,33
2012-01-01,2018-12-31,2557,Mobile AL-Pensacola (Ft. Walton Beach) FL,37
2012-01-01,2018-12-31,2557,Nashville TN,31
2012-01-01,2018-12-31,2557,New Orleans LA,46
2012-01-01,2018-12-31,2557,New York NY,28
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,41
2012-01-01,2018-12-31,2557,Oklahoma City OK,44
2012-01-01,2018-12-31,2557,Omaha NE,36
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,40
2012-01-01,2018-12-31,2557,Philadelphia PA,30
2012-01-01,2018-12-31,2557,Phoenix AZ,53
2012-01-01,2018-12-31,2557,Pittsburgh PA,26
2012-01-01,2018-12-31,2557,Portland OR,42
2012-01-01,2018-12-31,2557,Providence RI-New Bedford MA,26
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,29
2012-01-01,2018-12-31,2557,Richmond-Petersburg VA,26
2012-01-01,2018-12-31,2557,Rochester NY,27
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,77
2012-01-01,2018-12-31,2557,Salt Lake City UT,37
2012-01-01,2018-12-31,2557,San Antonio TX,58
2012-01-01,2018-12-31,2557,San Diego CA,56
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,59
2012-01-01,2018-12-31,2557,Savannah GA,43
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,58
2012-01-01,2018-12-31,2557,Springfield MO,54
2012-01-01,2018-12-31,2557,St. Louis MO,43
2012-01-01,2018-12-31,2557,Syracuse NY,23
2012-01-01,2018-12-31,2557,Tallahassee FL-Thomasville GA,27
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,37
2012-01-01,2018-12-31,2557,Toledo OH,41
2012-01-01,2018-12-31,2557,Tucson (Sierra Vista) AZ,34
2012-01-01,2018-12-31,2557,Tulsa OK,61
2012-01-01,2018-12-31,2557,Waco-Temple-Bryan TX,46
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),29
2012-01-01,2018-12-31,2557,West Palm Beach-Ft. Pierce FL,41
2012-01-01,2018-12-31,2557,Wichita-Hutchinson KS,45
2012-01-01,2018-12-31,2557,Wilkes Barre-Scranton PA,18
