GeoName,Keyword1_ I * raped+someone raped me+rape report police+my * raped me+being raped+been raped
Albany-Schenectady-Troy NY,64
Albuquerque-Santa Fe NM,68
Atlanta GA,75
Austin TX,56
Baltimore MD,66
Birmingham AL,82
Boston MA-Manchester NH,57
Buffalo NY,72
Charlotte NC,72
Chicago IL,64
Cincinnati OH,74
Cleveland-Akron (Canton) OH,73
Columbia SC,77
Columbus OH,78
Dallas-Ft. Worth TX,70
Denver CO,58
Detroit MI,81
Fresno-Visalia CA,80
Grand Rapids-Kalamazoo-Battle Creek MI,80
Greensboro-High Point-Winston Salem NC,68
Greenville-Spartanburg SC-Asheville NC-Anderson SC,78
Harrisburg-Lancaster-Lebanon-York PA,86
Hartford & New Haven CT,54
Honolulu HI,50
Houston TX,69
Indianapolis IN,74
Jacksonville FL,72
Kansas City MO,80
Knoxville TN,68
Las Vegas NV,69
Little Rock-Pine Bluff AR,100
Los Angeles CA,64
Louisville KY,70
Memphis TN,90
Miami-Ft. Lauderdale FL,55
Milwaukee WI,52
Minneapolis-St. Paul MN,60
Mobile AL-Pensacola (Ft. Walton Beach) FL,80
Nashville TN,76
New Orleans LA,75
New York NY,58
Norfolk-Portsmouth-Newport News VA,82
Oklahoma City OK,81
Omaha NE,56
Orlando-Daytona Beach-Melbourne FL,66
Philadelphia PA,70
Phoenix AZ,66
Pittsburgh PA,76
Portland OR,57
Providence RI-New Bedford MA,71
Raleigh-Durham (Fayetteville) NC,68
Richmond-Petersburg VA,69
Sacramento-Stockton-Modesto CA,71
Salt Lake City UT,52
San Antonio TX,88
San Diego CA,55
San Francisco-Oakland-San Jose CA,46
Seattle-Tacoma WA,59
Springfield MO,94
St. Louis MO,81
Tampa-St. Petersburg (Sarasota) FL,68
Tulsa OK,72
Washington DC (Hagerstown MD),61
West Palm Beach-Ft. Pierce FL,62
