GeoName,Keyword1_my car * stolen+bus stolen+truck stolen+report * stolen car+find stolen car
Albany-Schenectady-Troy NY,20.285714285714285
Albuquerque-Santa Fe NM,64.71428571428571
Atlanta GA,46.285714285714285
Augusta GA,48.142857142857146
Austin TX,45.857142857142854
Bakersfield CA,100.0
Baltimore MD,40.57142857142857
"Billings, MT",28.285714285714285
Birmingham AL,47.857142857142854
Boston MA-Manchester NH,22.285714285714285
Buffalo NY,31.857142857142858
Charlotte NC,40.142857142857146
Chicago IL,40.0
Cincinnati OH,34.57142857142857
Cleveland-Akron (Canton) OH,36.42857142857143
Colorado Springs-Pueblo CO,52.142857142857146
Columbia SC,36.857142857142854
Columbus OH,37.57142857142857
Dallas-Ft. Worth TX,52.714285714285715
Denver CO,45.714285714285715
Des Moines-Ames IA,24.571428571428573
Detroit MI,42.714285714285715
Flint-Saginaw-Bay City MI,30.857142857142858
Fresno-Visalia CA,62.857142857142854
Ft. Myers-Naples FL,30.0
Grand Rapids-Kalamazoo-Battle Creek MI,30.571428571428573
Greensboro-High Point-Winston Salem NC,33.714285714285715
Greenville-Spartanburg SC-Asheville NC-Anderson SC,40.0
Harrisburg-Lancaster-Lebanon-York PA,24.714285714285715
Hartford & New Haven CT,32.42857142857143
Honolulu HI,38.57142857142857
Houston TX,67.0
Indianapolis IN,36.857142857142854
Jacksonville FL,37.857142857142854
Kansas City MO,52.714285714285715
Knoxville TN,42.142857142857146
Las Vegas NV,74.28571428571429
Little Rock-Pine Bluff AR,46.714285714285715
Los Angeles CA,59.285714285714285
Louisville KY,48.714285714285715
Madison WI,25.0
Memphis TN,53.714285714285715
Miami-Ft. Lauderdale FL,43.42857142857143
Milwaukee WI,40.57142857142857
Minneapolis-St. Paul MN,33.42857142857143
Mobile AL-Pensacola (Ft. Walton Beach) FL,37.0
Nashville TN,33.0
New Orleans LA,46.857142857142854
New York NY,28.571428571428573
Norfolk-Portsmouth-Newport News VA,42.0
Oklahoma City OK,47.0
Omaha NE,38.285714285714285
Orlando-Daytona Beach-Melbourne FL,40.285714285714285
Philadelphia PA,31.142857142857142
Phoenix AZ,53.0
Pittsburgh PA,27.142857142857142
Portland OR,42.714285714285715
Providence RI-New Bedford MA,26.857142857142858
Raleigh-Durham (Fayetteville) NC,30.0
Richmond-Petersburg VA,26.714285714285715
Sacramento-Stockton-Modesto CA,35.714285714285715
Salt Lake City UT,72.14285714285714
San Antonio TX,41.0
San Diego CA,60.0
San Francisco-Oakland-San Jose CA,57.142857142857146
Savannah GA,57.857142857142854
Seattle-Tacoma WA,46.714285714285715
Springfield MO,56.857142857142854
St. Louis MO,53.714285714285715
Tallahassee FL-Thomasville GA,42.142857142857146
Tampa-St. Petersburg (Sarasota) FL,26.0
Toledo OH,29.0
Tucson (Sierra Vista) AZ,39.285714285714285
Tulsa OK,46.285714285714285
Waco-Temple-Bryan TX,36.714285714285715
Washington DC (Hagerstown MD),56.857142857142854
West Palm Beach-Ft. Pierce FL,45.142857142857146
Wichita-Hutchinson KS,32.714285714285715
Wilkes Barre-Scranton PA,39.714285714285715
